44,鲜菇鸡柳饭,1,9,,2011-12-18 17:29:25.548821,2011-12-18 17:29:25.548864
45,玉米鸡丁饭,1,9,,2011-12-18 17:29:47.951765,2011-12-18 17:29:47.951796
46,猪肝打卤饭,1,10,,2011-12-18 17:30:30.230428,2011-12-18 17:30:30.230504
47,手撕包菜饭,1,9,,2011-12-18 17:30:55.320171,2011-12-18 17:30:55.320206
48,韭菜鸡蛋饭,1,7,,2011-12-18 17:31:10.558702,2011-12-18 17:31:10.558733
49,韭菜鸭肠饭,1,9,,2011-12-18 17:31:42.526454,2011-12-18 17:31:42.526483
50,蛋黄豆腐饭,1,8,,2011-12-18 17:32:32.506930,2011-12-18 17:32:32.507011
51,三鲜打卤饭,1,9,,2011-12-18 17:33:35.612526,2011-12-18 17:33:35.612556
52,咖喱鸡丁饭,1,10,,2011-12-18 17:34:02.010629,2011-12-18 17:34:02.010709
53,毛豆烧鸡饭,1,11,,2011-12-18 17:34:26.589575,2011-12-18 17:34:26.589605
54,香菇烧鸡饭,1,10,,2011-12-18 17:35:18.233028,2011-12-18 17:35:18.233090
55,香辣鸡块饭,1,10,,2011-12-18 17:35:43.234919,2011-12-18 17:35:43.234951
